,bullish_intensity,bearish_intensity,bull_minus_bear,bull_scored_messages,bear_scored_messages,bull_bear_msg_ratio,total_scanned_messages,return_Open,return_High,return_Low,return_Close,return_Volume
18,1.88,1.58,0.3,5,6,0.83,56,-0.0011561452458352939,0.007681685563176721,-0.01337207589237388,-0.010351037453540046,1.574490965809611
19,2.18,1.74,0.44,2,3,0.67,18,-0.004167183557106768,-0.006992617561842995,0.006540936986098478,0.008297253516483583,-0.3944744782065356
20,1.96,2.6,-0.64,2,1,2.0,12,0.004940154597233626,-0.00040404040404051766,0.0003512909162530775,-0.0023179995901251305,-0.2894786351586329
21,2.25,2.56,-0.31,5,3,1.67,18,-0.012029425504087254,0.00415751818916732,-0.003628512904547243,0.009061291716295328,-0.07722921631402002
22,1.97,0.0,1.97,2,0,0.0,11,0.01879067548998048,0.010063254801973898,0.019618214851529148,0.00828927037609728,0.32439741226392127
23,1.76,2.06,-0.3,8,6,1.33,43,0.02269590245819697,0.040421303959130794,0.024713399816465254,0.03830777443567812,0.7680535220699753
24,1.04,0.22,0.82,4,2,2.0,28,0.022416989592578318,0.02210670849736407,0.022993040768901407,0.014735833611609017,0.07499610091572784
25,2.04,2.89,-0.85,4,1,4.0,16,0.021156132425782292,-0.0012848760502717216,0.015332181297270653,0.002546740693072591,-0.257829285985699
26,0.81,0.0,0.81,2,0,0.0,9,-0.008287106762754348,-0.007451069418386358,-0.016994966902873054,-0.005404815607964353,-0.2723934261418378
27,1.76,0.0,1.76,3,0,0.0,8,0.00488362903639028,0.0011881399677877713,0.00677237069782044,0.002499717367683507,-0.184964849322254
28,2.2,1.23,0.97,3,2,1.5,17,0.0011339326871340205,0.01898801930622529,0.011922356927716482,0.005529043738843997,0.663791479609456
29,1.88,1.6,0.28,6,3,2.0,19,0.009708743362553784,-0.006352583444707016,-0.01221422972877173,-0.00905660377358486,-0.07191006995712002
30,2.16,2.15,0.01,1,4,0.25,12,-0.027724337754937656,-0.011720804787448191,-0.007276943421028581,-0.007888194973343587,-0.1917679409178471
31,1.29,2.31,-1.02,2,1,2.0,15,0.010219207567399469,0.006361169811320844,0.010416705246913516,0.020727132564660078,-0.24210446878891168
32,2.65,1.97,0.68,1,2,0.5,9,0.01555445143006251,0.0038568995691594665,0.005345513350686781,-0.004136449122409069,0.02353214510936308
33,1.86,0.0,1.86,4,0,0.0,10,-0.0032131848467114033,-0.0050693969305860564,-0.00922358526395739,-0.00016184054462098363,0.5622689538880601
34,1.72,0.0,1.72,4,0,0.0,17,-0.004190635577284718,-0.001233531791188236,-0.010459481898803524,-0.02422441905947259,-0.02756487761339632
35,2.09,1.39,0.7,6,1,6.0,18,-0.02125707614659411,-0.0015036354364632576,0.003597155605898017,0.02233772518888788,0.05449927159986556
36,1.85,2.41,-0.56,4,1,4.0,10,0.02640428891907054,0.004947848795029852,0.016101466688164034,0.006057328220039793,-0.23526643388492485
37,1.65,1.28,0.37,5,1,5.0,17,0.008270676691729317,0.016857502762950727,0.016443256998499356,0.021449268665205024,0.43001210966192205
38,0.62,0.0,0.62,2,0,0.0,14,0.010759582401193013,0.002841961024208306,0.009236524243264821,0.0012631388154080714,-0.2304097139313842
39,0.0,0.0,0.0,0,0,0.0,14,0.004742817142858069,0.004723190862727655,-0.000740660204828214,-0.005151116843077674,-0.05896217906319523
40,2.0,2.43,-0.43,1,1,1.0,9,-0.008863961980153268,-0.003917477148080439,-0.0014293504534211854,0.006340090741478566,-0.3307519296631396
41,1.87,0.0,1.87,2,0,0.0,7,0.01084831466209768,0.004247535418183013,0.0054076872704991175,0.0017851158318675786,-0.017891922856597242
42,1.07,2.13,-1.06,3,2,1.5,17,-0.0020416971617276403,-0.0017754216119173494,0.00031637312302712495,-0.004140275580100106,0.20830011860089837
43,0.0,0.62,-0.62,0,4,0.0,14,0.008498116815286894,0.006015598902072261,0.0027938745387454667,0.006683522857420465,0.07899077180533087
44,0.0,0.0,0.0,0,0,0.0,11,-0.013628062773161642,-0.007279497901401144,-0.0036797561234271914,-0.0038162057409366623,-0.005204643914369478
45,1.57,1.03,0.54,5,1,5.0,14,-0.001476596530084917,-0.00293316569313673,-0.008916773164319935,-0.013171688776089985,0.15491743683149317
46,1.81,1.78,0.03,26,19,1.37,106,-0.007921811753116681,-0.001891169343442356,-0.012191231769684507,0.009625120876095572,1.1839876428631695
47,1.69,1.73,-0.04,12,9,1.33,40,0.06787331986024281,0.061842089799169164,0.06628941489469464,0.04687658653081472,0.21099756025805982
48,1.51,1.81,-0.3,6,5,1.2,23,-0.005383858397887131,0.03449815186117755,0.00697495064973519,0.030992187336289723,0.04617510073273556
49,1.74,2.04,-0.3,16,13,1.23,45,0.025962309673026818,-0.004120511754305056,0.01646340443634786,0.0013663527096783312,-0.3370409376751866
50,1.57,1.47,0.1,6,3,2.0,13,0.00488519298918022,-0.00986291046823462,0.0035554096094021492,-0.006140351026811763,-0.46829535805264644
51,1.92,2.1,-0.18,1,1,1.0,4,-0.009868706950595163,0.004616156462585286,-0.015401308407184566,-0.007158953789323852,0.1510304030449625
52,0.64,2.29,-1.65,4,3,1.33,24,-0.00986894461950838,-0.01905686048230093,-0.018240894735041535,-0.025237026128378415,0.56203100972378
53,1.48,1.78,-0.3,4,2,2.0,12,-0.01958739987484981,-0.023618140247611885,-0.027233403594639993,-0.025181166712743508,0.0817329578048609
54,1.6,2.06,-0.46,1,3,0.33,14,-0.013706949433949123,-0.006110488716079332,0.0054422346315836645,0.020530119756030363,-0.3031774217277209
55,2.35,0.71,1.64,2,1,2.0,5,0.005435912792636444,-5.0825668136189606e-05,-0.020662058485228174,-0.03997957361781013,0.2582192587937231
56,1.74,1.59,0.15,5,5,1.0,17,-0.03192901087567057,-0.019918734553671436,-0.013817271909810858,0.0042970343915749165,-0.05371518658856855
57,1.71,2.2,-0.49,4,3,1.33,12,-0.010273993569293816,-0.01742012177053398,0.0018860430026403918,-0.00295811111293931,-0.23040570075960642
58,1.78,0.89,0.89,4,3,1.33,15,0.015331397554765758,0.022847213773246056,0.023182041535468656,0.01091395525599892,-0.0670017468465669
59,0.0,2.5,-2.5,0,1,0.0,6,0.00875581707777573,0.0059323959989971975,0.008358308451435592,0.016875388776785405,-0.21071342422954553
60,0.0,0.0,0.0,0,0,0.0,8,0.0005717515651948446,0.0009743282001315468,0.0030236628246462782,0.001597701411086394,-0.23311673664219346
61,1.83,0.0,1.83,4,0,0.0,12,0.0230117496803528,0.0343767824780159,0.0200624222459711,0.03663686341791106,0.7921379231820251
62,1.87,1.92,-0.05,3,7,0.43,16,0.020716965083704908,0.015255111516865316,0.02420253646377102,0.007544892024152539,-0.2413898992465996
63,2.61,3.44,-0.83,2,1,2.0,13,0.017610213439763767,9.756561330198643e-05,0.004079404050339797,0.0013302000131529823,0.10636916892325732
64,0.88,2.09,-1.21,5,5,1.0,21,-0.006941723733583038,-0.000634165838191203,-0.001981836208600485,-0.006199261840116543,-0.1805456552594228
65,1.52,0.0,1.52,3,0,0.0,7,-0.0013291523087525237,-0.00019523600236626137,0.0031772972452639436,0.012178835284448741,-0.0563339081167632
66,1.62,0.0,1.62,3,0,0.0,8,0.012865411600836207,0.01547620931294924,0.0145494129935404,0.010662733747606401,0.4136035110045193
67,0.0,2.22,-2.22,0,6,0.0,13,0.002920016518201063,-0.0026923077570266685,-4.879273991342803e-05,0.0017906015236781592,-0.1827939614976225
68,1.91,0.0,1.91,2,0,0.0,12,0.0022320991089641584,-0.0021210904869138902,-0.004878077929803104,-0.005024140193703341,-0.05596983306499448
69,1.45,2.22,-0.77,7,1,7.0,18,-0.009344427320077786,-0.011545874619244056,-0.020588269708766038,-0.02646146837474006,0.4488278503358616
70,1.45,1.72,-0.27,3,10,0.3,18,-0.026684878549435465,-0.02062463222716393,-0.010210155563970202,-0.002942506681524737,-0.25014456238899674
71,2.07,1.99,0.08,4,1,4.0,11,0.019332125858273264,0.02799545969346151,0.026243911414180143,0.02981194081974592,0.1677797821506768
72,0.0,0.0,0.0,0,0,0.0,2,0.011477827586206857,-0.00058256309548399,-0.0002463710285605103,-0.006994322070999148,-0.3294576842800373
73,0.0,0.0,0.0,0,0,0.0,2,0.0003409146268977814,-0.0011171507891423182,0.004238570766274652,-0.0012228770978556236,-0.1004414040517726
74,0.0,1.25,-1.25,0,4,0.0,12,-0.03008766324288048,-0.013080452415469845,-0.026452688919264,-0.01763064792595137,0.030731635794926992
75,1.9,0.46,1.44,1,1,1.0,2,0.009487034767640123,-0.006306690911443424,0.0020164036494147997,-0.0033900045205643714,0.43894204781458335
76,0.67,2.79,-2.12,1,6,0.17,23,0.005618795683954181,0.0054045915391625066,-0.009759994061075639,-0.014706618198788823,0.09627969815797277
77,1.59,2.05,-0.46,3,2,1.5,15,-0.016218339917293156,-0.006657750357284109,-0.005487014063160767,-0.003756871662032757,0.535673063050065
78,1.83,0.0,1.83,4,0,0.0,7,-0.007740214152292757,-0.012114010404984277,0.002656495597866959,0.0012739692827608007,-0.3726482677627716
79,1.46,1.68,-0.22,8,5,1.6,17,0.011548971384389262,0.004523052613559564,-0.030519171946417067,-0.016083006149475776,0.8427650586245843
80,1.34,2.41,-1.07,2,3,0.67,11,-0.031947901212861285,-0.0305683017452546,-0.00840864488936377,-0.02260505286136749,-0.13560050928496936
81,1.65,1.24,0.41,8,5,1.6,26,-0.02048423254772469,-0.007328306641972926,0.00010599427096691372,0.004869065916216275,-0.03408142718914409
82,1.3,1.92,-0.62,12,2,6.0,30,0.010139427759599196,0.03020535529303925,0.008532024015600381,0.04176537433039251,-0.008135587721183724
83,0.83,1.32,-0.49,6,4,1.5,18,0.04297366209717324,0.007771533222217464,0.03052913651132827,-0.006926213311798435,-0.28492629771226463
84,1.98,0.52,1.46,1,1,1.0,6,-0.008621543859649083,-0.008512763975708215,-0.013716138008789902,-0.008959950291909768,-0.12231676215962761
85,1.87,1.99,-0.12,2,4,0.5,16,-0.012185266334459821,-0.002878767604071575,-0.004497689272509486,0.011866235593895436,0.15360509736727246
86,1.93,2.39,-0.46,1,1,1.0,5,0.002354496596202127,0.0004051511743585756,0.0036871779458418352,-0.014265387855912692,-0.15395780152257887
87,1.94,1.65,0.29,2,2,1.0,7,-0.0037276975307940496,-0.005113675308730192,0.006622781361000252,0.004429139482347466,-0.15847724071638847
88,0.31,2.5,-2.19,2,1,2.0,4,-0.0043054843007869215,-0.007633562496357604,-0.018247171143548457,-0.016253940169400627,0.10157377881427188
89,0.0,0.0,0.0,0,0,0.0,7,-0.005611026372732142,0.002564117935568655,0.008376947424687087,0.018607318126873773,0.565611250729094
90,1.71,1.45,0.26,9,3,3.0,20,0.014909126290078012,0.02173913510508174,0.015939792150158283,0.014327380867738437,0.005151367412081775
91,1.91,1.82,0.09,2,4,0.5,13,0.017291481676656728,0.005506888472918803,0.01528076306186632,0.010745139647053703,-0.4288087197649837
92,1.76,1.33,0.43,6,4,1.5,24,0.008824724404827844,0.007617575077393912,0.010822551473662845,0.008684352904241743,-0.01141579946646154
93,1.7,1.49,0.21,22,10,2.2,43,0.011679910594830645,0.034440187458052884,0.012648732569848553,0.03433945025720786,0.4496442521190904
94,1.44,1.66,-0.22,8,5,1.6,27,0.04013756384383527,0.02197274410330663,0.0307844072559178,0.012294268686540155,0.2868426789797025
95,2.24,1.62,0.62,2,6,0.33,18,0.004298096583205124,-0.0057489975636597634,-0.00419829679692485,-0.011861429043996119,-0.30929357694546533
96,2.28,1.78,0.5,10,1,10.0,15,-0.017871382969677163,-0.003384693541529038,-0.0020121353233191197,0.012147259510082442,-0.07439529062527517
97,1.35,1.88,-0.53,3,1,3.0,8,0.020590954463395983,0.006367886642266729,0.010801190325933518,-0.004299721326302297,-0.1448091701602876
98,2.19,2.49,-0.3,10,2,5.0,24,0.0014075540221438754,0.005390213340382699,0.008643617021276695,0.015564926535709844,0.4010058715567173
99,1.15,1.97,-0.82,6,10,0.6,33,0.005481895703509432,0.005081575781266334,0.004096407382992773,0.0017288537999573528,0.2190980650137242
100,1.68,1.66,0.02,6,7,0.86,27,-0.0010252096876737227,-0.0016698177327774122,-0.01172330156443846,-0.015906307226218774,-0.08264562768065653
101,1.5,0.87,0.63,3,2,1.5,14,-0.012267893975235866,-0.015007182943794106,-0.008066424635509328,-0.001848594613195087,-0.13588235294117645
102,2.39,0.0,2.39,3,0,0.0,14,-0.006847735537190092,0.0,4.7849796241727915e-05,0.006648337955400985,-0.0618706133658834
103,1.77,2.05,-0.28,2,3,0.67,18,0.01188781785593207,0.004716976303844822,-0.0029178273481816897,-0.008821591409899243,0.03265962304752246
104,1.95,2.53,-0.58,4,4,1.0,18,-0.016964309210526274,-0.01516436591240633,-0.009738579808326486,-0.011375008058278957,0.2860699531142099
105,1.98,1.88,0.1,8,3,2.67,20,-0.00631000540919735,0.005529856667679578,-0.011239201791093945,0.014105512092186467,0.01923158445081885
106,1.52,1.69,-0.17,5,6,0.83,23,0.010775965488623473,-0.002228199013064036,0.02410585975450341,-0.005791606958421847,-0.28552613337030364
107,1.91,2.34,-0.43,4,8,0.5,24,0.003902655658877263,0.005416701562450887,-0.015070361183176173,-0.01671202812460526,0.3723165486239126
108,2.06,1.74,0.32,5,6,0.83,39,-0.012326312514154059,0.01696596904961223,0.00665470928255707,0.044238314634656994,0.2288291770162183
109,1.78,1.59,0.19,4,3,1.33,16,0.03158450489726161,0.0016729216352602272,0.01090522556202389,-0.015392448417722915,-0.16144325072780064
110,2.38,1.45,0.93,5,2,2.5,26,-0.013168344704736712,-0.010391988323525392,-0.010930792154066005,-0.017286194600263705,-0.0065317025422411135
111,2.11,1.96,0.15,4,4,1.0,23,-0.024990509005766937,-0.02723735421329221,-0.048501543624802634,-0.0495986699091332,0.44990745771139706
112,1.49,2.21,-0.72,34,33,1.03,219,-0.020649999300947908,-0.013493975968645655,0.015368259437697818,0.026902654867256626,0.20859464557327811
113,1.68,1.55,0.13,36,26,1.38,153,0.016986830279986265,0.04401567192972955,0.011938673021855806,0.014133057566356522,0.7520040356588291
114,1.47,1.91,-0.44,31,31,1.0,252,0.00436994409754865,-0.014646052582834801,-0.01505580459378697,0.009420258327668352,-0.07741461402916805
115,1.76,1.7,0.06,15,10,1.5,67,-0.009282030770965455,-0.024123839035634198,-0.004159795477774786,-0.04132198705707191,-0.31874844563501803
116,1.08,2.1,-1.02,9,16,0.56,66,-0.018786936544504584,-0.016058408680980962,-0.04252639197308905,-0.03627875083522136,0.06173826316844355
117,1.27,2.1,-0.83,5,2,2.5,18,-0.04331610347439929,-0.030662700600026738,0.005519016966748724,0.013901884755274985,-0.39815004168698576
118,1.58,0.0,1.58,3,0,0.0,12,0.018402064113989924,0.0016326071428571787,0.010872943191943651,0.0058029220839561635,-0.06872332560405958
119,1.72,2.09,-0.37,6,4,1.5,24,-0.00377727015579965,0.019763697931302504,0.00537806933707019,0.017206147248034265,-0.11887349243007439
120,0.0,2.6,-2.6,0,1,0.0,8,0.007993062622186908,-0.009140839160839187,-0.014658954689240278,-0.03603870473400006,0.2312977793957045
